"rank","track","artist","billed_artist_count","is_collaboration","spotify_streams_total","daily_streams","daily_streams_rank","daily_stream_share_pct"
311,63,217,1,1,-0.256566654338974,-0.479807350080364,477,-0.584810338723738
312,431,245,1,1,-0.256631974467061,0.412674608065963,129,1.48187981444005
313,456,18,1,1,-0.257012338671681,-0.633751850493464,614,-0.940515179900075
314,6,310,1,1,-0.257568277828822,-0.46050447793717,462,-0.538883890875654
315,396,379,1,1,-0.257834339038165,0.549012457905399,105,1.80156391220612
316,633,91,1,1,-0.259908636235391,0.149710692875394,181,0.881233918073927
317,548,173,1,1,-0.260286841415561,-0.0516741289695762,234,0.413864772325777
318,417,310,1,1,-0.2608494986086,-0.0685565985427822,241,0.376042991745002
319,419,195,1,1,-0.263470265134746,-0.308605357790248,361,-0.17957697535829
320,627,370,1,1,-0.26387199307906,-0.12898691667039,272,0.240965203956519
321,445,144,1,1,-0.265618229402795,0.376566857171042,134,1.4269481807394
322,244,55,1,1,-0.269434343670586,-0.559253885371816,552,-0.760411462848765
323,276,196,1,1,-0.270789854400047,-0.360220496477742,395,-0.291241279930102
324,458,236,1,1,-0.270888783984625,-0.546442778625597,540,-0.728893312364786
325,263,348,1,1,-0.272096608767115,-0.533213543563636,527,-0.697375161880807
326,471,268,1,1,-0.273917943479222,-0.515468953751788,511,-0.654150269788492
327,13,365,1,1,-0.274441338234343,-0.519514452971616,514,-0.663155455641058
328,614,355,1,1,-0.275054843344708,-0.316689890328113,369,-0.183179049699316
329,511,207,1,1,-0.276918862162944,-0.199562234706217,299,0.096882230315471
330,400,346,1,1,-0.277597730774655,-0.481199674265771,478,-0.569501522774377
331,192,127,1,1,-0.277989121425569,-0.415665604325402,434,-0.413711807524993
332,436,350,1,1,-0.279543941918737,-0.602801733926218,590,-0.857667470056473
333,287,346,1,1,-0.279704268761087,-0.540257065913341,536,-0.708181384903885
334,590,207,1,1,-0.281232250845423,-0.114830902351889,264,0.306703060680247
335,250,40,1,1,-0.282845822827563,-0.402753198451142,423,-0.377691064114731
336,382,185,1,1,-0.283813509151852,-0.240704767794808,323,0.0104324461308421
337,281,252,1,1,-0.284330258159841,-0.306419882985291,359,-0.146257787703798
338,110,330,1,1,-0.284949435528636,-0.344734661691136,382,-0.236309646229453
339,404,300,1,1,-0.286738158369209,0.288085301778621,152,1.28376572568361
340,54,187,1,1,-0.287084604685273,-0.191979887207361,297,0.132902973725733
341,127,122,1,1,-0.292052105487065,-0.520548997257986,515,-0.652349232617979
342,229,63,1,1,-0.292079396905492,0.302756432939711,148,1.33509528504323
343,628,15,1,1,-0.292140620670227,-0.142420905289028,277,0.260776612832163
344,342,227,1,1,-0.292544608843261,-0.285608300424474,346,-0.0841220053210958
345,273,270,1,1,-0.293460936409616,-0.454144185876589,459,-0.4902558872718
